Gen 128 | Best Fitness = 31.249
Gen 129 | Best Fitness = 31.249
Gen 130 | Best Fitness = 31.249
Gen 131 | Best Fitness = 31.279
Gen 132 | Best Fitness = 31.288
Gen 133 | Best Fitness = 31.291
Gen 134 | Best Fitness = 31.303
Gen 135 | Best Fitness = 31.303
Gen 136 | Best Fitness = 31.306
Gen 137 | Best Fitness = 31.334
Gen 138 | Best Fitness = 31.336
Gen 139 | Best Fitness = 31.339
Gen 140 | Best Fitness = 31.340
Gen 141 | Best Fitness = 31.344
Gen 142 | Best Fitness = 31.355
Gen 143 | Best Fitness = 31.358
Gen 144 | Best Fitness = 31.361
Gen 145 | Best Fitness = 31.362
Gen 146 | Best Fitness = 31.435
Gen 147 | Best Fitness = 31.435
Gen 148 | Best Fitness = 31.479
Gen 149 | Best Fitness = 31.479
Gen 150 | Best Fitness = 31.493
Gen 151 | Best Fitness = 31.493
Gen 152 | Best Fitness = 31.493
Gen 153 | Best Fitness = 31.506
Gen 154 | Best Fitness = 31.531
Gen 155 | Best Fitness = 31.551
Gen 156 | Best Fitness = 31.551
Gen 157 | Best Fitness = 31.551
Gen 158 | Best Fitness = 31.554
Gen 159 | Best Fitness = 31.555
Gen 160 | Best Fitness = 31.570
Gen 161 | Best Fitness = 31.570
Gen 162 | Best Fitness = 31.570
Gen 163 | Best Fitness = 31.574
Gen 164 | Best Fitness = 31.576
Gen 165 | Best Fitness = 31.599
Gen 166 | Best Fitness = 31.599
Gen 167 | Best Fitness = 31.629
Gen 168 | Best Fitness = 31.629
Gen 169 | Best Fitness = 31.629
Gen 170 | Best Fitness = 31.639
Gen 171 | Best Fitness = 31.639
Gen 172 | Best Fitness = 31.642
Gen 173 | Best Fitness = 31.642
Gen 174 | Best Fitness = 31.647
Gen 175 | Best Fitness = 31.647
Gen 176 | Best Fitness = 31.676
Gen 177 | Best Fitness = 31.676
Gen 178 | Best Fitness = 31.683
Gen 179 | Best Fitness = 31.683
Gen 180 | Best Fitness = 31.686
Gen 181 | Best Fitness = 31.695
Gen 182 | Best Fitness = 31.727
Gen 183 | Best Fitness = 31.727
Gen 184 | Best Fitness = 31.770
Gen 185 | Best Fitness = 31.800
Gen 186 | Best Fitness = 31.800
Gen 187 | Best Fitness = 31.844
Gen 188 | Best Fitness = 31.844
Gen 189 | Best Fitness = 31.872
Gen 190 | Best Fitness = 31.872
Gen 191 | Best Fitness = 31.872
Gen 192 | Best Fitness = 31.872
Gen 193 | Best Fitness = 31.872
Gen 194 | Best Fitness = 31.872
Gen 195 | Best Fitness = 31.883
Gen 196 | Best Fitness = 31.894
Gen 197 | Best Fitness = 31.894
Gen 198 | Best Fitness = 31.894
Gen 199 | Best Fitness = 31.895
Gen 200 | Best Fitness = 31.895

======== GA RUN 27 of 50 ========
Gen 1 | Best Fitness = 5.886
Gen 2 | Best Fitness = 14.217
Gen 3 | Best Fitness = 14.217
Gen 4 | Best Fitness = 14.217
Gen 5 | Best Fitness = 18.319
Gen 6 | Best Fitness = 20.599
Gen 7 | Best Fitness = 24.792
Gen 8 | Best Fitness = 24.792
Gen 9 | Best Fitness = 25.618
Gen 10 | Best Fitness = 27.569
Gen 11 | Best Fitness = 27.569
Gen 12 | Best Fitness = 27.569
Gen 13 | Best Fitness = 27.569
Gen 14 | Best Fitness = 27.569
Gen 15 | Best Fitness = 27.569
Gen 16 | Best Fitness = 27.569
Gen 17 | Best Fitness = 27.801
Gen 18 | Best Fitness = 27.801
Gen 19 | Best Fitness = 27.801
Gen 20 | Best Fitness = 27.801
Gen 21 | Best Fitness = 28.006
Gen 22 | Best Fitness = 28.057
Gen 23 | Best Fitness = 28.115
Gen 24 | Best Fitness = 28.331
